/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21864	1773 Lenz	resumed	his studies	1	3	7	8	8	10	0.8680790258171796	In 1773 Lenz returned to Strasbourg and resumed his studies .	IN CD NNP VBD TO NNP CC VBD PRP$ NNS .	B-PP B-NP I-NP B-VP B-PP B-NP O B-VP B-NP I-NP O	# lenz	resume	his studies
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21865	he	gave up	his position	3	4	4	6	6	8	0.16283928782043378	The following year he gave up his position with the von Kleist brothers and lived as a freelance writer , earning his living by private tutoring .	DT VBG NN PRP VBD RP PRP$ NN IN DT NNP NNP NNS CC VBD IN DT NN NN , VBG PRP$ NN IN JJ NN .	B-NP I-NP I-NP B-NP B-VP B-PRT B-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-VP B-PP B-NP I-NP I-NP O B-VP B-NP I-NP B-PP B-NP I-NP O	he	give up	his position
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21865	his position	lived as	a freelance writer	6	8	14	16	16	19	0.7766578106149429	The following year he gave up his position with the von Kleist brothers and lived as a freelance writer , earning his living by private tutoring .	DT VBG NN PRP VBD RP PRP$ NN IN DT NNP NNP NNS CC VBD IN DT NN NN , VBG PRP$ NN IN JJ NN .	B-NP I-NP I-NP B-NP B-VP B-PRT B-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-VP B-PP B-NP I-NP I-NP O B-VP B-NP I-NP B-PP B-NP I-NP O	his position	live as	a freelance writer
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21866	the two of them	were visiting	Emmendingen	8	12	12	14	14	15	0.7759151781262522	His relations with Goethe became friendlier : while the two of them were visiting Emmendingen , Goethe introduced Lenz to his sister Cornelia and her husband Johann Georg Schlosser .	PRP$ NNS IN NNP VBD JJ : IN DT CD IN PRP VBD VBG NNP , NNP VBD NNP TO PRP$ NN NNP CC PRP$ NN NNP NNP NNP .	B-NP I-NP B-PP B-NP B-VP B-ADJP O B-SBAR B-NP I-NP I-NP I-NP B-VP I-VP B-NP O B-NP B-VP B-NP B-PP B-NP I-NP B-NP O B-NP I-NP I-NP I-NP I-NP O	the # of them	visit	emmendingen
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21866	Goethe	introduced	Lenz	16	17	17	18	18	19	0.47201280574547066	His relations with Goethe became friendlier : while the two of them were visiting Emmendingen , Goethe introduced Lenz to his sister Cornelia and her husband Johann Georg Schlosser .	PRP$ NNS IN NNP VBD JJ : IN DT CD IN PRP VBD VBG NNP , NNP VBD NNP TO PRP$ NN NNP CC PRP$ NN NNP NNP NNP .	B-NP I-NP B-PP B-NP B-VP B-ADJP O B-SBAR B-NP I-NP I-NP I-NP B-VP I-VP B-NP O B-NP B-VP B-NP B-PP B-NP I-NP B-NP O B-NP I-NP I-NP I-NP I-NP O	goethe	introduce	lenz
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21867	April 1776 Lenz	followed	Goethe	1	4	4	5	5	6	0.5147288509162038	In April 1776 Lenz followed Goethe to the court of Weimar , where he was at first amicably received .	IN NNP CD NNP VBD NNP TO DT NN IN NNP , WRB PRP VBD IN JJ RB VBN .	B-PP B-NP I-NP I-NP B-VP B-NP B-PP B-NP I-NP I-NP I-NP O B-ADVP B-NP B-VP B-PP B-NP B-VP I-VP O	april # lenz	follow	goethe
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21867	he	was at	first	13	14	14	16	16	17	0.24031437775904013	In April 1776 Lenz followed Goethe to the court of Weimar , where he was at first amicably received .	IN NNP CD NNP VBD NNP TO DT NN IN NNP , WRB PRP VBD IN JJ RB VBN .	B-PP B-NP I-NP I-NP B-VP B-NP B-PP B-NP I-NP I-NP I-NP O B-ADVP B-NP B-VP B-PP B-NP B-VP I-VP O	he	be at	first
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21869	Goethe	broke off all personal contact with	him	7	8	10	16	16	17	0.3386261892318696	The exact circumstances are not recorded ; Goethe , who broke off all personal contact with him after this , refers only vaguely in his diary to " Lenz 's asininity " .	DT JJ NNS VBP RB VBN : NNP , WP VBD RP DT JJ NN IN PRP IN DT , VBZ RB RB IN PRP$ NN TO `` NNP POS NN '' .	B-NP I-NP I-NP B-VP I-VP I-VP O B-NP O B-NP B-VP B-PRT B-NP I-NP I-NP B-PP B-NP B-PP B-NP O B-VP B-ADVP I-ADVP B-PP B-NP I-NP B-PP O B-NP I-NP I-NP I-NP O	goethe	break off contact with	him
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21869	him	refers only vaguely in	his diary	16	17	20	24	24	26	0.06388402251365156	The exact circumstances are not recorded ; Goethe , who broke off all personal contact with him after this , refers only vaguely in his diary to " Lenz 's asininity " .	DT JJ NNS VBP RB VBN : NNP , WP VBD RP DT JJ NN IN PRP IN DT , VBZ RB RB IN PRP$ NN TO `` NNP POS NN '' .	B-NP I-NP I-NP B-VP I-VP I-VP O B-NP O B-NP B-VP B-PRT B-NP I-NP I-NP B-PP B-NP B-PP B-NP O B-VP B-ADVP I-ADVP B-PP B-NP I-NP B-PP O B-NP I-NP I-NP I-NP O	him	refer in	his diary
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jakob Michael Reinhold Lenz.txt	21870	Lenz	then returned to	Emmendingen	0	1	1	4	4	5	0.9811851367835542	Lenz then returned to Emmendingen , where the Schlossers took him in .	NNP RB VBD TO NNP , WRB DT NNP VBD PRP IN .	B-NP B-ADVP B-VP B-PP B-NP O B-ADVP B-NP I-NP B-VP B-NP B-PRT O	lenz	return to	emmendingen
