/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5598	he	struggled with	the bat	14	15	15	17	17	19	0.1985207589311846	His first Test appearance was in December 1995 against England at Durban , but he struggled with the bat in his first few matches .	PRP$ JJ JJ NN VBD IN NNP CD IN NNP IN NNP , CC PRP VBD IN DT NN IN PRP$ JJ JJ NNS .	B-NP I-NP I-NP I-NP B-VP B-PP B-NP I-NP B-PP B-NP B-PP B-NP O O B-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O	he	struggle with	the bat
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5599	His breakthrough	came in	1997	0	2	2	4	4	5	0.6872698427843448	His breakthrough came in 1997 with 61 against Pakistan , but more notably two matches later when he salvaged a draw for South Africa with a fighting century against Australia at the Melbourne Cricket Ground .	PRP$ NN VBD IN CD IN CD IN NNP , CC JJR RB CD NNS RB WRB PRP VBD DT NN IN NNP NNP IN DT VBG NN IN NNP IN DT NNP NNP NNP .	B-NP I-NP B-VP B-PP B-NP B-PP B-NP B-PP B-NP O O B-NP I-NP I-NP I-NP B-ADVP B-ADVP B-NP B-VP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP O	his breakthrough	come in	#
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5599	he	salvaged a draw for	South Africa	17	18	18	22	22	24	0.7758139254118586	His breakthrough came in 1997 with 61 against Pakistan , but more notably two matches later when he salvaged a draw for South Africa with a fighting century against Australia at the Melbourne Cricket Ground .	PRP$ NN VBD IN CD IN CD IN NNP , CC JJR RB CD NNS RB WRB PRP VBD DT NN IN NNP NNP IN DT VBG NN IN NNP IN DT NNP NNP NNP .	B-NP I-NP B-VP B-PP B-NP B-PP B-NP B-PP B-NP O O B-NP I-NP I-NP I-NP B-ADVP B-ADVP B-NP B-VP B-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP O	he	salvage draw for	south africa
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5600	Jacques Kallis	was one of	the world 's leading all-rounders	5	7	7	10	10	15	0.8149693252779753	Between 1998 and 2002 , Jacques Kallis was one of the world 's leading all-rounders , as seen in the ICC 's cricket ratings .	IN CD CC CD , NNP NNP VBD CD IN DT NN POS VBG NNS , IN VBN IN DT NNP POS NN NNS .	B-PP B-NP I-NP I-NP O B-NP I-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-SBAR B-VP B-PP B-NP I-NP I-NP I-NP I-NP O	jacques kallis	be one of	the world 's leading all-rounders
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5601	he	led South Africa to	the ICC Champions Trophy title	3	4	4	8	8	13	0.772595242307571	In 1998 , he led South Africa to the ICC Champions Trophy title with two " Man of the Match " and the " Player of the Series " performances .	IN CD , PRP VBD NNP NNP TO DT NNP NNP NNP NN IN CD `` NN IN DT NNP '' CC DT `` NNP IN DT NNP `` NNS .	B-PP B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	he	lead south africa to	the icc champions trophy title
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5602	a " Player of the Series " performance	led South Africa to	a stunning Test series victory	18	26	26	30	30	35	0.9818187793405316	The youngster was solid , without being spectacular , in the 1999 ICC Cricket World Cup , before a " Player of the Series " performance led South Africa to a stunning Test series victory against India in India in 2000 .	DT NN VBD JJ , IN VBG JJ , IN DT CD NNP NNP NNP NNP , IN DT `` NNP IN DT NNP `` NN VBD NNP NNP TO DT JJ NNP NN NN IN NNP IN NNP IN CD .	B-NP I-NP B-VP B-ADJP O B-PP B-VP B-ADJP O B-PP B-NP I-NP I-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP B-PP B-NP O	a player of the series performance	lead south africa to	a stunning test series victory
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5603	he	was	the world 's number one	3	4	4	5	5	10	0.00858422010868025	By late 2001 he was the world 's number one ranked Test all-rounder , having held the same ranking in ODIs for the best part of 3 years .	IN JJ CD PRP VBD DT NN POS NN CD VBD JJ NN , VBG VBN DT JJ NN IN NNP IN DT JJS NN IN CD NNS .	B-PP B-NP I-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-VP B-NP I-NP O B-VP I-VP B-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	he	be	the world 's number #
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5603	the world 's number one	ranked	Test all-rounder	5	10	10	11	11	13	0.7034078034158018	By late 2001 he was the world 's number one ranked Test all-rounder , having held the same ranking in ODIs for the best part of 3 years .	IN JJ CD PRP VBD DT NN POS NN CD VBD JJ NN , VBG VBN DT JJ NN IN NNP IN DT JJS NN IN CD NNS .	B-PP B-NP I-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-VP B-NP I-NP O B-VP I-VP B-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O	the world 's number #	rank	test all-rounder
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5604	Kallis	blossomed into arguably	the world 's leading batsman	5	6	6	9	9	14	0.7611736310146086	During this time , " Kallis blossomed into arguably the world 's leading batsman , with a defensive technique second to none , and the adhesive qualities of a Cape Point limpet .	IN DT NN , '' NNP VBD IN RB DT NN POS VBG NN , IN DT JJ NN JJ TO NN , CC DT JJ NNS IN DT NNP NNP NN .	B-PP B-NP I-NP O O B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP B-ADJP B-PP B-NP O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	kallis	blossom into	the world 's leading batsman
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5605	he	nailed down	the crucial No. 3 position	7	8	8	10	10	15	0.14834746322563636	Generally a placid and undemonstrative man , he nailed down the crucial No. 3 position in the South African batting order after a number of players had been tried and discarded , and his stock rose exponentially from that moment . "	RB DT JJ CC JJ NN , PRP VBD IN DT JJ NN CD NN IN DT JJ JJ NN NN IN DT NN IN NNS VBD VBN VBN CC VBN , CC PRP$ NN VBD RB IN DT NN . ''	B-ADVP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP B-VP I-VP I-VP I-VP I-VP O O B-NP I-NP B-VP B-ADVP B-PP B-NP I-NP O O	he	nail down	the crucial no. # position
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5605	his stock	rose exponentially from	that moment	33	35	35	38	38	40	0.8736527956374612	Generally a placid and undemonstrative man , he nailed down the crucial No. 3 position in the South African batting order after a number of players had been tried and discarded , and his stock rose exponentially from that moment . "	RB DT JJ CC JJ NN , PRP VBD IN DT JJ NN CD NN IN DT JJ JJ NN NN IN DT NN IN NNS VBD VBN VBN CC VBN , CC PRP$ NN VBD RB IN DT NN . ''	B-ADVP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP B-VP I-VP I-VP I-VP I-VP O O B-NP I-NP B-VP B-ADVP B-PP B-NP I-NP O O	his stock	rise from	that moment
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5606	Kallis	is one of only	four players	0	1	1	5	5	7	0.9322829860994336	Kallis is one of only four players in Test history to make a century in five consecutive matches , achieved in season 2003/04 .	NNP VBZ CD IN RB CD NNS IN JJ NN TO VB DT NN IN CD JJ NNS , VBN IN NN CD .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP B-VP I-VP B-NP I-NP B-PP B-NP I-NP I-NP O B-VP B-PP B-NP I-NP O	kallis	be one of	# players
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5607	he	set the record for	the fastest half-century	3	4	4	8	8	11	0.7071945188612578	In 2005 , he set the record for the fastest half-century , as measured by balls faced , in Test cricket history , scoring 50 against Zimbabwe off only 24 balls .	IN CD , PRP VBD DT NN IN DT JJS NN , IN VBN IN NNS VBN , IN JJ NN NN , VBG CD IN NNP IN RB CD NNS .	B-PP B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP O B-SBAR B-VP B-PP B-NP B-VP O B-PP B-NP I-NP I-NP O B-VP B-NP B-PP B-NP B-PP B-NP I-NP I-NP O	he	set record for	the fastest half-century
